"Index","Done","Offline","Length","Read","Path","Error"
"1","True","False","10029","10029","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\動態特性\捕捉電子現象.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"2","True","False","30622","30622","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據HEMT功能分類\常开(耗尽型)D-mode.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"3","True","False","33028","33028","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據元件結構特征分類\依據SDG结构&接觸方式分類\Gate\柵極主要接觸方式概要.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"4","True","False","64003","64003","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\動態特性\反向恢復特性.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"5","True","False","70782","70782","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據HEMT功能分類\元件結構對比.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"6","True","False","73839","73839","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\多通道技术\1.單通道磊晶結構.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"7","True","False","82671","82671","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\0.磊晶技術概述.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"8","False","False","111434","82671","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\動態特性\缺陷（動態導通電阻）.emmx",""
"9","True","False","119238","119238","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\靜態特性\辐射效应.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"10","True","False","123079","123079","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據HEMT功能分類\常闭(增强型)E-mode.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
